Name;Type;Units  or  mass;Status;Organisation;Institution;Entity;Nation;Oneliner;Images
PATCOOL  (Passive  Thermal  Coating  Observatory  Operating  in  Low  earth  orbit);CubeSat;3U;not  launched,  expected  in  2021;University  of  Florida;University;Academic  /  Education;US;Testbed  for  the  performance  of  experimental  cryogenic  selective  surface  samples  in  LEO.;['https://dl.airtable.com/.attachments/45c83fa7d2e71661aa409eb7ffeac62c/c74d4fdf/PATCOOL.bmp']
PetitSat  (Plasma  Enhancements  in  The  Ionosphere-Thermosphere  Satellite);CubeSat;6U;not  launched,  expected  in  2021;NASA  Goddard  Space  Flight  Center;Space  agency;Government  (Civil  /  Military);US;Provide  in-situ  measurements  of  plasma  density,  3D  ion  drift,  as  well  as  ion  and  neutral  composition.;['https://dl.airtable.com/.attachments/fbe7bbd7cecdf6c9c92d387ea84f4d4c/ce6a390f/PetitSat_Dellingr.jpg']
REALOP  (Remote  Experimentation  and  Analysis  of  Low  Orbit  Phenomena);CubeSat;2U;not  launched,  expected  in  2021;University  of  California,  Davis;University;Academic  /  Education;US;Provide  data  from  a  variety  of  environmental  and  remote  sensors  for  students  and  test  HDDs  as  reaction  wheels.;['https://dl.airtable.com/.attachments/959690a16d617a773ee3032d54a03234/9e8ab26b/REALOP.jpg']
SPORT  (Scintillation  Prediction  Observations  Research  Task);CubeSat;6U;not  launched,  expected  in  2021;NASA  Marshall  Space  Flight  Center;Space  agency;Government  (Civil  /  Military);US;  Investigate  the  state  of  the  ionosphere  that  leads  to  the  growth  of  plasma  bubbles.;['https://dl.airtable.com/.attachments/dbe24cfb40b510efcac718494aa655b7/9aca0761/SPORT.png']
MIMAN  (Multi-spectral  Imaging  for  Monitoring  Aerosol  by  Nanosatellite);CubeSat;3U;not  launched,  expected  in  2021;Yonsei  University;University;Academic  /  Education;South  Korea;Multi-spectral  Imaging  for  Monitoring  Aerosol  by  Nanosatellite. 
                                        ;['https://dl.airtable.com/.attachments/6b6435fcd53a7b5bda5365d91f4dff9f/ffba8f87/MIMAN.png']
Snuglite-II  (Snuglite  2);CubeSat;3U;not  launched,  expected  in  2021;Seoul  National  University;University;Academic  /  Education;South  Korea;Educational  amateur  radio  mission  with  GPS  receiver  demonstration.;[]
APTAS  (Atmospheric  Polar  Transmission  Alignment  Satellite);CubeSat;1U;not  launched,  expected  in  2021;Luleå  University  of  Technology  (LTU);University;Academic  /  Education;Sweden;Educational  mission  with  antenna  calibration  and  camera  payloads.;[]
EIRSAT-1;CubeSat;2U;not  launched,  expected  in  2021;University  College  Dublin;University;Academic  /  Education;Ireland;Test  a  novel  gamma-ray  detector  module  and  an  experiment  with  thermal  coatings  for  spacecraft. 
                                        ;['https://dl.airtable.com/EInXyUz4Rne3R7nYKg4J_EIRSAT-1_6b2097_ec8950a3b8484362984afcdb37e59343_mv2_d_4096_4096_s_4_2.webp',  'https://dl.airtable.com/.attachments/4bff11e21c77259add496cac4e3cbc55/9c95bf61/EIRSAT-1.png',  'https://dl.airtable.com/.attachments/776575e82a4bec0940c45f006a3286cb/31fb7c81/EIRSAT-1_3.png',  'https://dl.airtable.com/.attachments/46b3d54dfbb3ac6e229a9c4057c42687/206896ca/EIRSAT-1_2.jpg']
PRETTY  (Passive  REflecTomeTrY);CubeSat;3U;not  launched,  expected  in  2021;ESA;Space  agency;Government  (Civil  /  Military);Austria;Demonstrate  GNSS  reflectometry  at  low  grazing  angles  for  altimetry  for  sea  ice  detection  using  a  new  software-defined  GNSS  receiver.  ;['https://dl.airtable.com/iiJSBP5jSIuA6dgqBgfu_PRETTY.png']
RADCUBE;CubeSat;3U;not  launched,  expected  in  2021;C3S;Company;Commercial;Hungary;Real-time  monitoring  of  the  cosmic  radiation  and  space  weather  environment.;['https://dl.airtable.com/iisra244SemJ3wWyHEtX_RadCube.jpg']
RADSAT-SK  (IDRSat);CubeSat;2U;not  launched,  expected  in  2021;University  of  Saskatchewan;University;Academic  /  Education;Canada;Study  how  materials  degrade  in  space  by  studying  material  changes  in  colour,  texture,  brittleness,  and  electrical  conductivity.;['https://dl.airtable.com/.attachments/464308d98aa86c16ddc0e332260c76de/9f2dbafc/RADSAT-SK.jpg']
UVSQ-Sat  (UV  &  IR  Sensors  at  high  Quantum  efficiency  onboard  a  small  SATellite);CubeSat;1U;not  launched,  expected  in  2021;University  of  Versailles  Saint-Quentin-en-Yvelines  (UVSQ);University;Academic  /  Education;France;Measure  solar  radiation  and  educational  mission.;['https://dl.airtable.com/.attachments/90ba2b19e401a5ad178abe63b2bffd01/f2467468/UVSQ-Sat.jpg',  'https://dl.airtable.com/.attachments/80dad3af015ef6b9e6d203e5e2f66b36/e68ff303/UVSQ-Sat.webp',  'https://dl.airtable.com/.attachments/60ae7efb6681299679a2f208bf75b85b/a2e16ce2/UVSQ-Sat_2.jpg',  'https://dl.airtable.com/.attachments/fb2a466826c23c1937f284991f3fa5f6/3fbb890e/UVSQ-Sat_8.jpg',  'https://dl.airtable.com/.attachments/49cdc1c7963687a88d349e5105f6b81a/239b542e/UVSQ-Sat_6.jpg',  'https://dl.airtable.com/.attachments/188cda03c22d2cff4f301d9087dd4955/5fd6147c/UVSQ-Sat_5.jpg',  'https://dl.airtable.com/.attachments/623745475673f99a5262809e53dd70d3/7445b533/UVSQ-Sat_7.jpg',  'https://dl.airtable.com/.attachments/7a9933e1205c388c4f74999eee681d70/0a96e41e/UVSQ-Sat_4.jpg',  'https://dl.airtable.com/.attachments/e8c4adf789e00450525e95db6ec2c4f1/d7ade12f/UVSQ-Sat_3.jpg']
3CAT-3  (3CAT3,  MOTS);CubeSat;6U;not  launched,  expected  in  2021;Universitat  Politècnica  de  Catalunya;University;Academic  /  Education;Spain;Demonstrate  multispectral  camera  and  an  L-band  radiometer.;['https://dl.airtable.com/eslKjSHXQiyyA3xsxl0Q_3CAT-3.jpg']
AK-EDUSAT  (AK-EDU-SAT,  Abdul  Kalam  Educational  Satellite);CubeSat;3U;not  launched,  expected  in  2021;Consortium  of  universities;University;Academic  /  Education;India;Provide  high  rate  of  connectivity  to  remote  parts  of  the  globe.;[]
Azad-1;CubeSat;1U;not  launched,  expected  in  2021;Maulana  Azad  National  Institute  of  Technology;University;Academic  /  Education;India;Capture  solar  images  from  space. 
                                        ;[]
BLAST  (Bouchet  Low-Earth  Alpha/Beta  Space  Telescope);CubeSat;6U;not  launched,  expected  in  2021;Yale  University;University;Academic  /  Education;US;Map  the  distribution  of  galactic  cosmic  radiation  across  the  night  sky.  ;[]
BurstCube  ;CubeSat;6U;not  launched,  expected  in  2021;NASA  Goddard  Space  Flight  Center;Space  agency;Government  (Civil  /  Military);US;Autonomously  detect  gamma  ray  bursts  (GRBs)  onboard  to  detect  fading  broadband  afterglows.;['https://dl.airtable.com/.attachments/5717b14aa033c9ba57015ca2c6bd19cc/10cfa3d5/BurstCube.png',  'https://dl.airtable.com/.attachments/840f0abdddc7a401b84c5d1c5997cc05/284ad0bb/BurstCube_2.png']
CIRCUS;CubeSat;2U;not  launched,  expected  in  2021;Université  Pierre  et  Marie  Curie;University;Academic  /  Education;France;Study  in  situ  I  /  F  layer  of  the  ionosphere  using  a  radio  receiver  and  to  measure  the  plasma  power  spectrum.;[]
COSMO  (COmpact  Spaceborne  Magnetic  Observatory);CubeSat;3U;not  launched,  expected  in  2021;University  of  Colorado  at  Boulder;University;Academic  /  Education;US;Efficient  and  economical  collection  of  high-resolution  magnetic  field  data. 
                                        ;['https://dl.airtable.com/.attachments/1bbacfe778c39ab84318dbb6458080fb/6a1c1082/COSMO.png']
CTIM  FD  (Compact  Total  Irradiance  Monitor  Flight  Demonstration);CubeSat;6U;not  launched,  expected  in  2021;University  of  Colorado  at  Boulder;University;Academic  /  Education;US;Demonstrate  next-generation  Compact  Total  Irradiance  Monitor  that  will  help  to  provide  an  understanding  of  Earth’s  climate  change.;['https://dl.airtable.com/.attachments/59142c2fdee45ae37e6eafb071fc9a52/df01a7ce/CTIM.png']
DynaSat;PocketQube;PocketQube  1p;not  launched,  expected  in  2021;BHDynamics;Company;Commercial;Spain; 
;['https://dl.airtable.com/.attachments/4b2100035290cfbf18f370cb106a2c10/40a7c9db/DynaSat.jpg',  'https://dl.airtable.com/.attachments/5cacb9a9ee3adb27f0e7b5d5d0220793/27f1bdad/DynaSat_2.jpg']
ECOSat-III;CubeSat;3U;not  launched,  expected  in  2021;University  of  Victoria;University;Academic  /  Education;Canada;Educational  training  and  amateur  radio  communications.;['https://dl.airtable.com/.attachments/7107b52281a60c5fc63dc6b87799ceaa/e5264adb/ECOSat-III.jpg']
EON-MW;CubeSat;12U;not  launched,  expected  in  2021;Massachusetts  Institute  of  Technology;University;Academic  /  Education;US;Replicate  ATMS  satellite  and  measure  atmospheric  temperature  and  moisture.;['https://dl.airtable.com/fDOOtnFbSmSv2y44ZjyQ_EON-MW.png']
ERNST  (Experimental  Spacecraft  based  on  Nanosatellite  Technology);CubeSat;12U;not  launched,  expected  in  2021;Fraunhofer  EMI;Institute;Government  (Civil  /  Military);Germany;Main  payload  is  an  advanced  cryocooled  MWIR  camera  for  monitoring  the  Earths  infrared  background.  ;['https://dl.airtable.com/2wTfH6SySsSrNGNuhLwZ_ERNST.jpg']
EXACT  (Experiment  for  X-ray  Characterization  and  Timing);CubeSat;3U;not  launched,  expected  in  2021;University  of  Minnesota;University;Academic  /  Education;US;Study  hard  x-ray  (HXR)  emissions  from  solar  flare  activity.  ;['https://dl.airtable.com/.attachments/37829527622ed1775f021133cd31d52f/cbeadab0/EXACTSOCRATES.png']
GOLF-1  (Greater  Orbit,  Larger  Footprint  –  Mission  1);CubeSat;3U;not  launched,  expected  in  2021;AMSAT;Non-profit;Academic  /  Education;US;Educational  mission  with  amateur  radio  payload.;['https://dl.airtable.com/.attachments/2123f2428c81add861938895283389cf/6182755e/GOLF-TEE.png']
GranaSat;CubeSat;2U;not  launched,  expected  in  2021;University  of  Granada;University;Academic  /  Education;Spain;\- 
                                        ;['https://dl.airtable.com/.attachments/64286a01284150a6e3c91c50e8fe46ea/38d9fb0b/GranaSAT.jpg']
HATOSAT;CubeSat;3U;not  launched,  expected  in  2021;Tokyo  Denki  University;University;Academic  /  Education;Japan;Conducting  various  technical  tests  for  practical  satellite  development. 
                                        ;['https://dl.airtable.com/P8UJWffRfi16w4tdqKOQ_HATOSAT.jpg']
HOST;CubeSat;16U;not  launched,  expected  in  2021;Modularity  Space;Company;Commercial;US;Payload  rideshare  opportunities. 
                                        ;[]
Jumpsat;CubeSat;3U;not  launched,  expected  in  2021;Institut  Supérieur  de  l'Aéronautique  et  de  l'Espace;University;Academic  /  Education;France;Space  qualification  of  a  Star  Tracker  and  mapping  the  Earth  radiation  belt.;['https://dl.airtable.com/.attachments/a606b13d7a26da54c4fd33f1f0b860e8/f329fbbc/JumpSat.jpg']
KLETSkous  1;CubeSat;1U;not  launched,  expected  in  2021;SA  AMSAT;Non-profit;Academic  /  Education;South  Africa;Amateur  radio  communication  mission.;['https://dl.airtable.com/.attachments/deba25ce9b2f193416c3c4cf207fce87/243cdc90/Kletskous-Solar-Panel-13March-2018.jpg',  'https://dl.airtable.com/.attachments/572f11e0d58f694075b5a636d5ce0512/92450088/Kletskous.jpg']
KUbeSat-1;CubeSat;3U;not  launched,  expected  in  2021;University  of  Kansas;University;Academic  /  Education;US;Use  cosmic  ray  detector  to  study  exposure  and  effect  on  crewed  missions.;[]
Libertad-2;CubeSat;3U;not  launched,  expected  in  2021;Sergio  Arboleda  University;University;Academic  /  Education;Colombia;Launch  a  nanosatellite  into  space  with  an  optical  camera  in  order  to  capture  and  transmit  images  from  space  to  Earth. 
                                        ;['https://dl.airtable.com/2w9WcqQV2VMBHUY4PT8Q_Libertad-2.jpg']
Liger  Sat  (LigerSat);CubeSat;1U;not  launched,  expected  in  2021;Liger  Leadership  Academy;School;Academic  /  Education;Cambodia;Capture  images  of  Earth. 
                                        ;['https://dl.airtable.com/.attachments/27e403607ddb090fc03cffd87fd236d7/64bec0d9/LigerSat.png']
Light-1;CubeSat;3U;not  launched,  expected  in  2021;Khalifa  University  of  Science  and  Technology;University;Academic  /  Education;US;Study  terrestrial  gamma  ray  flashes  by  developing  and  building  two  payload  detectors  using  a  combination  of  photomultiplier  tubes  and  scintillating  crystals. 
                                        ;['https://dl.airtable.com/.attachments/10827d6761566a94da88f466174bba7b/6e41b91b/Light-1.png']
LORIS  (DUCS,  Dalhousie  University  CubeSat);CubeSat;2U;not  launched,  expected  in  2021;Dalhousie  University;University;Academic  /  Education;Canada;Educational  mission  and  demonstrate  CubeSat  platform  technologies.;['https://dl.airtable.com/.attachments/704c0c168910aa8f28b6729d896d444b/12a232fe/LORIS-Patch.jpg',  'https://dl.airtable.com/.attachments/e130397005467115fdbda12236667fc7/e122d754/LORIS_2.jpg',  'https://dl.airtable.com/.attachments/30fedf7f9c4e228ee9c52fed984b793c/67e338c4/LORIS.jpg']
LPUSAT  (LPUSAT-1);CubeSat;2U;not  launched,  expected  in  2021;Lovely  Professional  University;University;Academic  /  Education;India;Study  the  structure,  origin,  and  evolution  and  composition  of  the  Universe  by  Diffuse  X  Ray  Background;['https://dl.airtable.com/.attachments/3d0d585747b13fa0f3be62c8e49f34ef/6e9badb0/LPUSAT.jpg']
Manitoba  SAT-1  (ManitobaSat-1);CubeSat;3U;not  launched,  expected  in  2021;University  of  Manitoba;University;Academic  /  Education;Canada;Study  how  space  conditions  affect  the  composition  of  asteroids  and  the  Moon.;['https://dl.airtable.com/.attachments/4b882c35930e96414bd9e7c06e77472c/21e3d1c8/ManitobaSat-1.jpg']
MECSE  (Magnetohydrodynamics  /  Electrohydrodynamics  CubeSat  Experiment);CubeSat;3U;not  launched,  expected  in  2021;University  of  Beira  Interior;University;Academic  /  Education;Portugal;Measure  and  Manipulate  the  Ionospheric  Plasma  Layer. 
                                        ;['https://dl.airtable.com/.attachments/ad1cfb583f32624e6578beb29439fb4b/1d41b1d3/MECSE.png']
NITESat  (Night  Imaging  &  Tracking  Experiment  Satellite)  );CubeSat;2U;not  launched,  expected  in  2021;Adler  Planetarium;Non-profit;Academic  /  Education;US;Acquire  high  quality  nighttime  imagery  of  the  Midwest  from  orbit  to  measure  the  quantity  and  quality  of  light  pollution.;['https://dl.airtable.com/TiblT0NdSBqiIa5foiQb_NITESatCADassembly_isometric.png',  'https://dl.airtable.com/.attachments/6be8228e5153541fb08914a26d50b002/78ead616/NITESAT.png']
NOVA  (Exodus  Orbitals  CubeSat);CubeSat;3U;not  launched,  expected  in  2021;Open  Cosmos;Company;Commercial;UK;Upload  your  own  code  to  the  real  satellite.;['https://dl.airtable.com/.attachments/10284d4f67e448695ea045d33c0143c4/35b38f56/NOVA.png']
NSSTC-UAEU  CubeSat;CubeSat;6U;not  launched,  expected  in  2021;United  Arab  Emirates  University;University;Academic  /  Education;United  Arab  Emirates;GNSS  RF  signaling  technology  demonstrator  satellite.;[]
OEDIPE;CubeSat;3U;not  launched,  expected  in  2021;École  Elisa;University;Academic  /  Education;France;Technology  validation  MEMS  resonators,  replace  'quartz'  in  high  performance  applications  (source  RF  (500MHz  to  4GHz). 
                                        ;[]
OUFTI-2;CubeSat;1U;not  launched,  expected  in  2021;University  of  Liège;University;Academic  /  Education;Belgium;D-STAR  amateur-radio  telecommunciations,  just  as  for  OUFTI-1.  Will  be  designed  totally  from  scratch. 
                                        ;['https://dl.airtable.com/.attachments/7a74ab59b7b04a3a096c51a1210a9c1f/b842c881/OUFTI-2_2.png',  'https://dl.airtable.com/.attachments/a3d44cde880d1f0efa00321f14806af8/1fb4e9b7/OUFTI-2.jpg']
Overview  One  (Overview  1A,  SpaceVR);CubeSat;3U;not  launched,  expected  in  2021;SpaceVR;Company;Commercial;US;Virtual  reality  satellite. 
                                        ;['https://dl.airtable.com/YBV01u8RDizgz68XiukU_SpaceVR_O1%2B-%2BEarth.jpg']
Pakal;CubeSat;3U;not  launched,  expected  in  2021;Colibri  Mission  -  Universidad  Panamericana  México  &  Aguascalientes;University;Academic  /  Education;Mexico;Make  measurements  of  atmospheric  drag  in  order  to  contribute  to  space  debris  mitigation  efforts 
                                        ;['https://dl.airtable.com/.attachments/de71e159b9c4711d9a53ee20f568d85b/251cda50/Pakal_2.jpg',  'https://dl.airtable.com/.attachments/1db341e30b4e32e87b412a28e9f9392a/d4eb577d/Pakal.png']
PISat-2;Nanosatellite;10  kg;not  launched,  expected  in  2021;PES  Institute  of  Technology;University;Academic  /  Education;India;Ultraviolet  imager  that  will  stare  at  a  single  point  in  space  for  the  lifetime  of  the  mission.  ;[]
Polaris  ;CubeSat;6U;not  launched,  expected  in  2021;US  Army  Space  and  Missile  Defense  Command;Military;Government  (Civil  /  Military);US;Beyond-Line-of-Sight  Communications  to  handheld  tactical  radios  in  a  contested  environment.  ;['https://dl.airtable.com/.attachments/160a8ba7579162207ca3cc86e00b9da8/a4627290/Polaris.png']
QUBSat-I;CubeSat;1U;not  launched,  expected  in  2021;Qatar  University;University;Academic  /  Education;Qatar;Educational  mission  including  ground  station.;[]
ROBUSTA  3A  (Méditerranée,  Mediterranean-Sat  Radiation  on  Bipolar  Test  for  University  Satellite  Application,  Robusta-3A);CubeSat;3U;not  launched,  expected  in  2021;University  of  Montpellier  II;University;Academic  /  Education;France;Improve  the  accuracy  of  weather  forecasts  around  the  Mediterranean  basin.;['https://dl.airtable.com/.attachments/8cd27e2efcbaaf41a6d6597adcbac0ba/5fec62a1/ROBUSTA-3A.jpg',  'https://dl.airtable.com/.attachments/ff33d8d4705991380a774dc5a9626711/17df6814/ROBUSTA-3A_2.bmp']
SAGE  IV  (Stratospheric  Aerosol  and  Gas  Experiment  Pathfinder);CubeSat;6U;not  launched,  expected  in  2021;NASA  Langley  Research  Center;Space  agency;Government  (Civil  /  Military);US;Demonstrate  a  new  capability  for  measuring  stratospheric  ozone  by  using  a  solar  occultation  technique 
                                        ;['https://dl.airtable.com/.attachments/5ab2b4e3cd80ce809dc223a454abd23e/e91c4b74/SAGE-IV_2.png',  'https://dl.airtable.com/.attachments/6826a618f13b14423d4a88621ca1d2e4/ed846a32/SAGE-IV_3.png',  'https://dl.airtable.com/.attachments/9b50eba0637bf7d3a5a66cecdd8d480b/61288332/SAGE-IV.png']
SC-ODIN  (Aleksandr  III,  Space  Concordia's  Orbital  Dust  Imaging  Nanosat);CubeSat;3U;not  launched,  expected  in  2021;Concordia  University;University;Academic  /  Education;Canada;Test  an  imaging  instrument  to  collect  data  on  dust  measurements  and  study  the  effect  of  climate  change  in  the  Kluane  Lake  region.;['https://dl.airtable.com/.attachments/f53f0969932ceda032ac8f05f222ca46/91fee1cc/SC-ODIN_2.jpg',  'https://dl.airtable.com/.attachments/bf5aaaddb722e0ef1b62df8648a4f3af/216c8be4/SC-ODIN_Aleksandr-III.jpg']
SNoOPI  (SigNals  of  Opportunity  P-band  Investigation);CubeSat;6U  (1x6U);not  launched,  expected  in  2021;Purdue  University;University;Academic  /  Education;US;Demonstrate  the  measurement  of  the  complex  reflection  coefficient  over  various  land  surface  conditions.;['https://dl.airtable.com/.attachments/66265634261f15921f54440e64347bf3/cfa8ae7a/SNoOPI.png']
SPARCS  (Star-Planet  Activity  Research  CubeSat);CubeSat;6U;not  launched,  expected  in  2021;Arizona  State  University;University;Academic  /  Education;US;Monitor  the  flares  and  sunspots  of  small  stars  to  assess  habitability  of  orbiting  planets.  ;['https://dl.airtable.com/.attachments/9c3101d1848a6d3989d82eaf3ef576ca/439920d9/SPARCS_2.jpg',  'https://dl.airtable.com/.attachments/313e17578ec19779cf112bfe207b9607/6219d523/SPARCS.png']
SWITCH  (Stratospheric  Water  Inventory,  Tomography  of  Convective  Hydration);CubeSat;6U;not  launched,  expected  in  2021;NASA  Jet  Propulsion  Laboratory;Space  agency;Government  (Civil  /  Military);US;Measure  water  vapor  in  the  upper  troposphere  and  lower  stratosphere  with  microwave  sensor.;[]
TBA  (IRIM);PocketQube;PocketQube  1p;not  launched,  expected  in  2021;IRIM  -  Croatian  Makers;Non-profit;Academic  /  Education;Croatia;Launched  by  Croatian  high  school  students,  organized  by  an  educational  non-profit  IRIM  –  Croatian  Makers. 
                                        ;[]
TeideSat;CubeSat;1U;not  launched,  expected  in  2021;Universidad  de  La  Laguna;University;Academic  /  Education;Spain;Test  optical  communications  without  the  need  of  lasers  between  Earth  and  space. 
                                        ;['https://dl.airtable.com/.attachments/ed799f74dd6812d4955eb79602a82b5d/f1cc7c36/TeideSat.jpg']
TFTqube;PocketQube;PocketQube  1p;not  launched,  expected  in  2021;The  Flame  Trench;Company;Commercial;US;Demonstrate  various  PocketQube  platform  technologies.;['https://dl.airtable.com/.attachments/471b524cfed7cb380dc52d3af0a81883/448b2e06/TFTqube_3.jpg',  'https://dl.airtable.com/.attachments/2efe586bb3957a980c1a83e0861a6fa2/b1471d4b/TFTqube.jpg',  'https://dl.airtable.com/.attachments/8f6107d2614bad9fd7e6ac03ce62b343/03061a0a/TFTqube_2.jpg',  'https://dl.airtable.com/pFk9xpAFTcWwqKkJ8Rmc_TFTqube_AssemblyModel%2Bv23.png']
TUDSat;CubeSat;1U;not  launched,  expected  in  2021;TU  Darmstadt  Space  Technology;Non-profit;Academic  /  Education;Germany;Technology  demonstration  of  transparent  reflector  array  mounted  on  a  solar  cell. 
                                        ;['https://dl.airtable.com/.attachments/26c967788c4e2bf95adcabf35c4b1235/ae03df35/TUDSat_2.jpg',  'https://dl.airtable.com/.attachments/187787243fab14b3610e08c440f1947e/17efc462/TUDSat.jpg']
UdeSat;CubeSat;3U;not  launched,  expected  in  2021;Université  de  Sherbrooke;University;Academic  /  Education;Canada;One  of  the  first  demonstrations  of  a  quantum  sensor  in  space  to  measure  magnetic  fields.;[]
UoMBSat1  (UMBSAT1);PocketQube;PocketQube  1p;not  launched,  expected  in  2021;University  of  Malta;University;Academic  /  Education;Malta;Study  the  properties  of  an  ionised  region  of  the  Earth’s  upper  atmosphere.;['https://dl.airtable.com/kOLJYkZISISEADU5QCmJ_UoMBSat1.jpg']
Western  University  –  Nunavut  Arctic  College  CubeSat  Project;CubeSat;3U;not  launched,  expected  in  2021;Western  University  ;University;Academic  /  Education;Canada;Flight-test  a  novel  imaging  system  to  provide  virtual  reality-ready  images.;[]
WUSAT-3;CubeSat;3U;not  launched,  expected  in  2021;University  of  Warwick;University;Academic  /  Education;UK;Technology  for  wildlife  monitoring  and  educational  mission. 
                                        ;['https://dl.airtable.com/.attachments/35405c7f540ed63872f656962acf890c/821c22b7/WUSAT-3_3.png',  'https://dl.airtable.com/.attachments/f5018b1ee721cfd5c047765b5b7050de/5c550689/WUSAT-3_2.png',  'https://dl.airtable.com/.attachments/050cce56c22f4d515a4e7897560776e7/6ce7bec5/WUSAT-3.jpg']
NEUDOSE  (  NEUtron  DOSimetry  &  Exploration);CubeSat;2U;not  launched,  expected  in  2022;McMaster  University;University;Academic  /  Education;Canada;Investigates  radiation  doses  that  astronauts  would  experience  during  extravehicular  activities  (EVAs).;['https://dl.airtable.com/m6774bipQjWWDZrRLtVw_NEUDOSE.jpg',  'https://dl.airtable.com/.attachments/615c2262a9a79a5a8b99d0d526b5e421/f0076c08/NEUDOSE-2U_4.bmp',  'https://dl.airtable.com/.attachments/baef5397f6a953b4e380e761adf0af17/6cffe493/NEUDOSE-2U_2.jpg',  'https://dl.airtable.com/.attachments/d84511eeda7a711d27d55be9bf08eda1/f168ebbb/NEUDOSE-2U_5.bmp',  'https://dl.airtable.com/.attachments/e0021b115d8a88d8f81dc677f7722b76/b99146bd/NEUDOSE-2U.jpg']
QlevEr-Sat;CubeSat;2U;not  launched,  expected  in  2022;CSUG-IPAG  (Univ.  Grenoble  Alpes);University;Academic  /  Education;France;Artificial  Intelligence  (AI)  Earth  observation  demonstration  satellite  designed  to  test  AI  routines  on  board  and  reduce  ground  data  transmission.;['https://dl.airtable.com/.attachments/026a48dda83c40d85a0f9ff4664f411d/abf75c09/QlevEr-Sat.jpg']
AMAJ  Mother;CubeSat;1U;not  launched,  expected  in  2022;Innova  Space;Company;Commercial;Argentina;Constellation  of  three  satellites,  one  Cubesat  and  two  1P  Pocketqubes,  trying  to  support  a  simple  IoT  mission  and  test  some  of  the  technologies  in  orbit.;['https://dl.airtable.com/.attachments/05409ddd0a000a81137139aab11d67cb/5aa3e1cb/AMAJ.jpg']
Auris;CubeSat;6U;not  launched,  expected  in  2022;Michigan  Technological  University;University;Academic  /  Education;US;Monitor  communications  emissions  from  geostationary  satellites.;['https://dl.airtable.com/.attachments/52bf6a29e089eeb8999be7735d319e96/c101f4b9/Auris.png']
AuroraSat;CubeSat;3U;not  launched,  expected  in  2022;Aurora  College;University;Academic  /  Education;Canada;Promote  and  share  indigenous  culture  across  Canada  through  northern  images.;[]
CANVAS  (Climatology  of  Anthropogenic  and  Natural  VLF  wave  Activity  in  Space);CubeSat;3U;not  launched,  expected  in  2022;University  of  Colorado  at  Boulder;University;Academic  /  Education;US;Map  the  transmission  of  VLF  energy  from  the  ground  into  space,  injected  by  both  lightning  and  VLF  transmitters. 
                                        ;['https://dl.airtable.com/.attachments/c8b1e19392f4a332374cc4f8a42d7f36/2bc7299f/CANVAS.png']
CE-SAT-III  (CE-SAT  3);CubeSat;3U;not  launched,  expected  in  2022;Canon;Company;Commercial;US;Work  continues  at  Canon  Electronics  lab  in  Japan  to  create  smaller  and  more  powerful  satellites. 
                                        ;['https://dl.airtable.com/.attachments/b1becdd6f7727deaadd4b405438011df/05c427c1/CE-SAT-III.jpg']
CIRBE  (Colorado  Inner  Radiation  Belt  Experiment);CubeSat;3U;not  launched,  expected  in  2022;University  of  Colorado  at  Boulder;University;Academic  /  Education;US;Understand  the  formation  of  the  inner  belt  electrons.;['https://dl.airtable.com/.attachments/253a559dba1c91dedb9e04c543c84090/fae0822a/CIRBE.jpg']
ContentCube;CubeSat;1U;not  launched,  expected  in  2022;Virginia  Tech;University;Academic  /  Education;US;Selfie-stick  for  space  will  external  LCD  screen.;[]
Dione;CubeSat;6U;not  launched,  expected  in  2022;NASA  Goddard;Space  agency;Government  (Civil  /  Military);US;Study  how  Earth’s  upper  atmospheric  layers  react  to  the  ever-changing  flow  of  solar  energy  into  the  magnetosphere.;['https://dl.airtable.com/.attachments/82e4607faddbd12861de4315084ebf19/abe75df4/Dellingr.jpg']
ESSENCE  (Educational  Space  Science  and  Engineering  CubeSat  Experiment);CubeSat;3U;not  launched,  expected  in  2022;York  University;University;Academic  /  Education;Canada;Test  a  Canadian-developed  wide-angle  camera  to  observe  snow  and  ice  coverage  in  Northern  Canada.;[]
Killick1  (Killick-1);CubeSat;2U;not  launched,  expected  in  2022;Memorial  University  of  Newfoundland;University;Academic  /  Education;Canada;Test  technology  to  monitor  oceans  (sea-ice  detection  and  sea-ice  concentration  estimation).;[]
NIMPH;CubeSat;3U;not  launched,  expected  in  2022;Centre  Spatial  Universitaire  de  Toulouse  (CSUT);University;Academic  /  Education;France;Technology  validation  of  optical  components  and  degradation  measurements.;[]
Oracle  1;CubeSat;3U;not  launched,  expected  in  2022;University  of  Edinburgh  (Asteria);University;Academic  /  Education;UK;Earth  observation. 
                                        ;['https://dl.airtable.com/.attachments/1360e353ecb4385788717f3e2086a996/9893d9f9/Oracle-1_Asteria.jpg']
